Frame,Ball X,Ball Y,Speed,Angle,Min Distance to Player,Closest Player ID,Hit Player ID,Hit Power
1.0,1136.0,356.0,838.525491562421,-63.43494882292201,164.19046462822962,3.0,,
2.0,1151.0,330.0,750.4165509901817,-60.01836063115067,144.51644972069107,3.0,,
3.0,1166.0,300.0,838.525491562421,-63.43494882292201,130.09694005834626,3.0,3.0,88.10894057223936
4.0,1176.0,276.0,650.0,-67.38013505195957,300.30106313144364,4.0,,
5.0,1192.0,258.0,602.0797289396148,-48.366460663429805,312.84102830284263,4.0,,
6.0,1203.0,240.0,527.3755777432247,-58.57043438516149,156.52261702144304,3.0,,
7.0,1215.0,225.0,480.23431780746364,-51.34019174590991,165.97612490278712,3.0,,
8.0,1226.0,210.0,465.0268809434569,-53.74616226255522,176.79526528542448,3.0,,
9.0,1236.0,195.0,450.6939094329987,-56.309932474020215,193.85373197142476,3.0,,
10.0,1248.0,187.0,360.5551275463989,-33.690067525979785,199.02841815460133,3.0,,
11.0,1260.0,180.0,347.3110997362451,-30.256437163529263,197.50926071289712,3.0,,
12.0,1267.0,168.0,347.3110997362451,-59.743562836470744,219.71189182035243,3.0,,
13.0,1278.0,161.0,325.96012026013244,-32.47119229084849,225.52089178709065,3.0,,
14.0,1293.0,150.0,465.0268809434569,-36.25383773744479,235.3273133361552,3.0,,
15.0,1305.0,142.0,360.5551275463989,-33.690067525979785,241.5378677685533,3.0,,
16.0,1372.0,135.0,1684.116979309929,-5.96448710125312,248.27008377081395,3.0,,
17.0,1331.0,131.0,1029.866496202299,-174.4278021960362,251.35486357536496,3.0,,
18.0,1353.0,127.0,559.0169943749474,-10.304846468766033,255.42279400492336,3.0,,
19.0,1353.0,120.0,175.0,-90.0,259.6565995082639,3.0,,
20.0,1342.0,120.0,275.0,180.0,255.15374960748974,3.0,,
21.0,1338.0,116.0,141.4213562373095,-135.0,256.09746120017564,3.0,,
22.0,1335.0,116.0,75.0,180.0,239.98860651726577,3.0,,
23.0,1327.0,116.0,200.0,180.0,237.84642558228262,3.0,,
24.0,1320.0,116.0,175.0,180.0,236.9170183374753,3.0,,
25.0,1316.0,120.0,141.4213562373095,135.0,233.14275425799198,3.0,,
26.0,1308.0,123.0,213.60009363293827,159.44395478041653,232.13617060703783,3.0,,
27.0,1301.0,131.0,265.75364531836624,131.18592516570965,225.6328538501871,3.0,,
28.0,1297.0,135.0,141.4213562373095,135.0,219.9765567003629,3.0,,
29.0,1290.0,146.0,325.96012026013244,122.47119229084849,207.680492978926,3.0,,
30.0,1282.0,153.0,265.75364531836624,138.81407483429035,200.11759945630521,3.0,,
31.0,1278.0,165.0,316.22776601683796,108.43494882292202,190.07195203141006,3.0,,
32.0,1271.0,180.0,413.82363393117123,115.01689347810004,181.22852553789278,3.0,,
33.0,1267.0,195.0,388.1043674065006,104.93141717813755,167.3069524723706,3.0,,
34.0,1260.0,205.0,305.16389039334257,124.99202019855868,162.1637564448813,3.0,,
35.0,1252.0,225.0,538.5164807134504,111.80140948635182,146.6487768444006,3.0,,
36.0,1245.0,240.0,413.82363393117123,115.01689347810004,141.56477996774944,3.0,,
37.0,1241.0,262.0,559.0169943749474,100.30484646876603,132.416412529499,3.0,,
38.0,1233.0,281.0,515.3882032022076,112.83365417791754,128.52788527977893,3.0,,
39.0,1203.0,307.0,992.4716620639604,139.08561677997488,110.92792641407902,3.0,3.0,477.0834588617528
40.0,1173.0,337.0,1060.6601717798212,135.0,122.39255176132394,4.0,,
41.0,1140.0,367.0,1114.9551560488878,137.72631099390625,95.52987216377352,4.0,,
42.0,1110.0,397.0,1060.6601717798212,135.0,81.97432942670521,4.0,,
43.0,1083.0,423.0,937.0832406995656,136.0809241866607,83.84396121934654,4.0,,
44.0,1042.0,465.0,1467.353059082919,134.30972280213493,105.78595304462857,4.0,,
45.0,1005.0,502.0,1308.147545195113,135.0,137.23184554817965,4.0,,
46.0,967.0,540.0,1343.5028842544402,135.0,176.04020572978092,4.0,,
47.0,930.0,585.0,1456.4511663629507,129.42780219603623,225.49653724406377,4.0,,
48.0,892.0,630.0,1472.4554322627223,130.17923392190735,275.39107586384324,4.0,,
49.0,851.0,678.0,1578.171410208663,130.50284838533224,333.07542828255896,4.0,,
50.0,817.0,712.0,1202.0815280171307,135.0,346.6422624033469,1.0,,
51.0,783.0,720.0,873.2124598286489,166.75948008481282,316.05912987060987,1.0,,
52.0,750.0,727.0,843.3563896716499,168.02386755579664,289.52019612408577,1.0,,
53.0,716.0,738.0,893.3784192602818,162.07208023799276,269.52654463986886,1.0,,
54.0,678.0,753.0,1021.3349107907748,158.45902408146156,247.23116827841517,1.0,,
55.0,645.0,768.0,906.228448019593,155.55604521958347,221.6734806268857,1.0,,
56.0,603.0,786.0,1142.3659658795864,156.80140948635182,183.6687866452366,1.0,,
57.0,566.0,810.0,1102.5538535599972,147.0305960965379,156.99773268820263,1.0,,
58.0,532.0,821.0,893.3784192602818,162.07208023799276,135.8496478689707,1.0,,
59.0,521.0,802.0,548.8624600025038,-120.06858282186246,116.80231783495793,1.0,,
60.0,510.0,783.0,548.8624600025038,-120.06858282186246,99.19197585267271,1.0,,
61.0,498.0,768.0,480.23431780746364,-128.6598082540901,87.95191436341695,1.0,,
62.0,487.0,753.0,465.0268809434569,-126.2538377374448,74.88950950994297,1.0,,
63.0,481.0,748.0,195.25624189766634,-140.19442890773482,70.41838039754664,1.0,1.0,269.7706390457905
64.0,483.0,743.0,134.6291201783626,-68.19859051364818,86.58519466494539,1.0,,
65.0,482.0,723.0,500.62460986251966,-92.86240522611175,81.46317044306944,1.0,,
66.0,494.0,704.0,561.8051263561058,-57.724355685422374,89.64365098368904,1.0,,
67.0,517.0,662.0,1197.131989381288,-61.29404745659892,116.45316808989158,1.0,,
68.0,566.0,615.0,1697.4245196767956,-43.80651057601796,183.58891155695187,1.0,,
69.0,607.0,573.0,1467.353059082919,-45.690277197865086,235.34603571121204,1.0,,
70.0,652.0,540.0,1395.0806428303706,-36.25383773744479,202.45450725837898,4.0,,
71.0,675.0,517.0,813.1727983645296,-45.0,164.46704239529205,4.0,,
72.0,727.0,476.0,1655.4833131143305,-38.25442035251718,101.36427334382908,4.0,,
73.0,761.0,453.0,1026.2187875886896,-34.07719528013074,69.29862763622131,4.0,,
74.0,787.0,435.0,790.5694150420948,-34.69515353123397,52.97069169090225,4.0,,
75.0,821.0,411.0,1040.4326023342405,-35.21759296819271,56.340758595335615,4.0,,
76.0,847.0,397.0,738.24115301167,-28.30075576600638,78.77406104964061,4.0,,
77.0,877.0,382.0,838.525491562421,-26.56505117707799,107.6889872537212,4.0,,
78.0,900.0,367.0,686.4765108872991,-33.11134196037203,133.73226189416178,4.0,,
79.0,922.0,360.0,577.1698190307598,-17.650124219930124,142.24611105620306,3.0,,
80.0,945.0,351.0,617.4544517614235,-21.370622269343183,111.61274120520063,3.0,,
81.0,967.0,345.0,570.087712549569,-15.255118703057777,85.23555154316868,3.0,,
82.0,982.0,345.0,375.0,0.0,65.03196616102969,3.0,,
83.0,986.0,344.0,103.07764064044152,-14.036243467926479,59.68965936005364,3.0,,
84.0,989.0,347.0,106.06601717798212,45.0,54.35985086032784,3.0,,
85.0,989.0,349.0,50.0,90.0,52.49210794111871,3.0,,
